,f,fv,value
21092,0.520,0.940,486.7999999999993
21093,0.520,0.945,476.2999999999993
21094,0.520,0.950,466.7999999999993
21095,0.520,0.955,458.10000000000036
21096,0.520,0.960,450.0
21097,0.520,0.965,442.7000000000007
21098,0.520,0.970,435.7999999999993
21099,0.520,0.975,429.39999999999964
21100,0.520,0.980,423.39999999999964
21101,0.520,0.985,417.7999999999993
21102,0.520,0.990,412.39999999999964
21103,0.520,0.995,407.39999999999964
21104,0.520,1.000,402.7000000000007
21282,0.525,0.885,851.6000000000004
21283,0.525,0.890,711.0
21284,0.525,0.895,647.8999999999996
21285,0.525,0.900,607.0
21286,0.525,0.905,576.8999999999996
21287,0.525,0.910,553.1000000000004
21288,0.525,0.915,533.6000000000004
21289,0.525,0.920,517.0
21290,0.525,0.925,502.60000000000036
21291,0.525,0.930,490.0
21292,0.525,0.935,478.7000000000007
21293,0.525,0.940,468.5
21294,0.525,0.945,459.2999999999993
21295,0.525,0.950,450.89999999999964
21296,0.525,0.955,443.10000000000036
21297,0.525,0.960,435.89999999999964
21298,0.525,0.965,429.2000000000007
21299,0.525,0.970,423.0
21300,0.525,0.975,417.10000000000036
21301,0.525,0.980,411.60000000000036
21302,0.525,0.985,406.39999999999964
21303,0.525,0.990,401.60000000000036
21304,0.525,0.995,396.89999999999964
21305,0.525,1.000,392.5
21482,0.530,0.880,785.7999999999993
21483,0.530,0.885,683.3999999999996
21484,0.530,0.890,629.2000000000007
21485,0.530,0.895,592.2999999999993
21486,0.530,0.900,564.3999999999996
21487,0.530,0.905,542.1000000000004
21488,0.530,0.910,523.6000000000004
21489,0.530,0.915,507.7000000000007
21490,0.530,0.920,494.0
21491,0.530,0.925,481.7999999999993
21492,0.530,0.930,470.89999999999964
21493,0.530,0.935,461.10000000000036
21494,0.530,0.940,452.10000000000036
21495,0.530,0.945,443.89999999999964
21496,0.530,0.950,436.39999999999964
21497,0.530,0.955,429.2999999999993
21498,0.530,0.960,422.7999999999993
21499,0.530,0.965,416.7000000000007
21500,0.530,0.970,411.0
21501,0.530,0.975,405.60000000000036
21502,0.530,0.980,400.60000000000036
21503,0.530,0.985,395.7999999999993
21504,0.530,0.990,391.2000000000007
21505,0.530,0.995,386.89999999999964
21506,0.530,1.000,382.7999999999993
21681,0.535,0.870,1158.1000000000004
21682,0.535,0.875,743.2000000000007
21683,0.535,0.880,660.8999999999996
21684,0.535,0.885,612.8999999999996
21685,0.535,0.890,579.0
21686,0.535,0.895,552.8999999999996
21687,0.535,0.900,531.7999999999993
21688,0.535,0.905,514.2000000000007
21689,0.535,0.910,499.0
21690,0.535,0.915,485.7000000000007
21691,0.535,0.920,474.0
21692,0.535,0.925,463.39999999999964
21693,0.535,0.930,453.89999999999964
21694,0.535,0.935,445.2000000000007
21695,0.535,0.940,437.2000000000007
21696,0.535,0.945,429.7999999999993
21697,0.535,0.950,423.0
21698,0.535,0.955,416.60000000000036
21699,0.535,0.960,410.60000000000036
21700,0.535,0.965,405.10000000000036
21701,0.535,0.970,399.7999999999993
21702,0.535,0.975,394.7999999999993
21703,0.535,0.980,390.10000000000036
21704,0.535,0.985,385.7000000000007
21705,0.535,0.990,381.5
21706,0.535,0.995,377.39999999999964
21707,0.535,1.000,373.60000000000036
21881,0.540,0.865,897.2000000000007
21882,0.540,0.870,711.7000000000007
21883,0.540,0.875,641.8999999999996
21884,0.540,0.880,598.3999999999996
21885,0.540,0.885,566.8999999999996
21886,0.540,0.890,542.2999999999993
21887,0.540,0.895,522.2000000000007
21888,0.540,0.900,505.2999999999993
21889,0.540,0.905,490.7000000000007
21890,0.540,0.910,477.7999999999993
21891,0.540,0.915,466.39999999999964
21892,0.540,0.920,456.2000000000007
21893,0.540,0.925,446.89999999999964
21894,0.540,0.930,438.39999999999964
21895,0.540,0.935,430.7000000000007
21896,0.540,0.940,423.5
21897,0.540,0.945,416.7999999999993
21898,0.540,0.950,410.5
21899,0.540,0.955,404.7000000000007
21900,0.540,0.960,399.2000000000007
21901,0.540,0.965,394.10000000000036
21902,0.540,0.970,389.2000000000007
21903,0.540,0.975,384.60000000000036
21904,0.540,0.980,380.2000000000007
21905,0.540,0.985,376.10000000000036
21906,0.540,0.990,372.10000000000036
21907,0.540,0.995,368.2999999999993
21908,0.540,1.000,364.7000000000007
22081,0.545,0.860,820.1000000000004
22082,0.545,0.865,686.7999999999993
22083,0.545,0.870,625.3999999999996
22084,0.545,0.875,585.3999999999996
22085,0.545,0.880,555.7999999999993
22086,0.545,0.885,532.3999999999996
22087,0.545,0.890,513.2000000000007
22088,0.545,0.895,496.89999999999964
22089,0.545,0.900,482.7000000000007
22090,0.545,0.905,470.2999999999993
22091,0.545,0.910,459.2000000000007
22092,0.545,0.915,449.2999999999993
22093,0.545,0.920,440.2000000000007
22094,0.545,0.925,431.89999999999964
22095,0.545,0.930,424.2999999999993
22096,0.545,0.935,417.2999999999993
22097,0.545,0.940,410.7000000000007
22098,0.545,0.945,404.60000000000036
22099,0.545,0.950,398.89999999999964
22100,0.545,0.955,393.5
22101,0.545,0.960,388.39999999999964
22102,0.545,0.965,383.7000000000007
