,f,fv,value
19895,0.490,0.985,886.7000000000007
19896,0.490,0.990,875.1000000000004
19897,0.490,0.995,864.2000000000007
19898,0.490,1.000,854.0
20077,0.495,0.890,1838.1000000000004
20078,0.495,0.895,1487.6000000000004
20079,0.495,0.900,1349.7999999999993
20080,0.495,0.905,1263.1000000000004
20081,0.495,0.910,1200.1000000000004
20082,0.495,0.915,1150.7000000000007
20083,0.495,0.920,1110.2999999999993
20084,0.495,0.925,1076.1000000000004
20085,0.495,0.930,1046.6000000000004
20086,0.495,0.935,1020.7000000000007
20087,0.495,0.940,997.6000000000004
20088,0.495,0.945,976.7999999999993
20089,0.495,0.950,958.0
20090,0.495,0.955,940.7999999999993
20091,0.495,0.960,924.8999999999996
20092,0.495,0.965,910.2999999999993
20093,0.495,0.970,896.7000000000007
20094,0.495,0.975,884.0
20095,0.495,0.980,872.1000000000004
20096,0.495,0.985,860.8999999999996
20097,0.495,0.990,850.3999999999996
20098,0.495,0.995,840.3999999999996
20099,0.495,1.000,831.0
20277,0.500,0.885,1608.5
20278,0.500,0.890,1404.7999999999993
20279,0.500,0.895,1296.2000000000007
20280,0.500,0.900,1222.2000000000007
20281,0.500,0.905,1166.2999999999993
20282,0.500,0.910,1121.5
20283,0.500,0.915,1084.2999999999993
20284,0.500,0.920,1052.5
20285,0.500,0.925,1024.7999999999993
20286,0.500,0.930,1000.2999999999993
20287,0.500,0.935,978.3999999999996
20288,0.500,0.940,958.6000000000004
20289,0.500,0.945,940.6000000000004
20290,0.500,0.950,924.1000000000004
20291,0.500,0.955,908.8999999999996
20292,0.500,0.960,894.7999999999993
20293,0.500,0.965,881.7000000000007
20294,0.500,0.970,869.3999999999996
20295,0.500,0.975,857.8999999999996
20296,0.500,0.980,847.1000000000004
20297,0.500,0.985,836.8999999999996
20298,0.500,0.990,827.2000000000007
20299,0.500,0.995,818.1000000000004
20300,0.500,1.000,809.3999999999996
20476,0.505,0.875,1930.2000000000007
20477,0.505,0.880,1489.7000000000007
20478,0.505,0.885,1341.8999999999996
20479,0.505,0.890,1251.5
20480,0.505,0.895,1186.5
20481,0.505,0.900,1136.1000000000004
20482,0.505,0.905,1094.8999999999996
20483,0.505,0.910,1060.2999999999993
20484,0.505,0.915,1030.3999999999996
20485,0.505,0.920,1004.2999999999993
20486,0.505,0.925,981.1000000000004
20487,0.505,0.930,960.2000000000007
20488,0.505,0.935,941.2999999999993
20489,0.505,0.940,924.0
20490,0.505,0.945,908.1000000000004
20491,0.505,0.950,893.5
20492,0.505,0.955,879.8999999999996
20493,0.505,0.960,867.2000000000007
20494,0.505,0.965,855.2999999999993
20495,0.505,0.970,844.2000000000007
20496,0.505,0.975,833.7000000000007
20497,0.505,0.980,823.7999999999993
20498,0.505,0.985,814.3999999999996
20499,0.505,0.990,805.5
20500,0.505,0.995,797.0
20501,0.505,1.000,789.0
20676,0.510,0.870,1649.1000000000004
20677,0.510,0.875,1408.7000000000007
20678,0.510,0.880,1291.0
20679,0.510,0.885,1212.8999999999996
20680,0.510,0.890,1154.7000000000007
20681,0.510,0.895,1108.5
20682,0.510,0.900,1070.3999999999996
20683,0.510,0.905,1037.8999999999996
20684,0.510,0.910,1009.7000000000007
20685,0.510,0.915,984.8999999999996
20686,0.510,0.920,962.7000000000007
20687,0.510,0.925,942.7999999999993
20688,0.510,0.930,924.6000000000004
20689,0.510,0.935,908.0
20690,0.510,0.940,892.7000000000007
20691,0.510,0.945,878.6000000000004
20692,0.510,0.950,865.3999999999996
20693,0.510,0.955,853.1000000000004
20694,0.510,0.960,841.6000000000004
20695,0.510,0.965,830.7999999999993
20696,0.510,0.970,820.6000000000004
20697,0.510,0.975,811.0
20698,0.510,0.980,801.7999999999993
20699,0.510,0.985,793.2000000000007
20700,0.510,0.990,784.8999999999996
20701,0.510,0.995,777.1000000000004
20702,0.510,1.000,769.6000000000004
20876,0.515,0.865,1519.2999999999993
20877,0.515,0.870,1347.0
20878,0.515,0.875,1248.1000000000004
20879,0.515,0.880,1179.0
20880,0.515,0.885,1126.0
20881,0.515,0.890,1083.2999999999993
20882,0.515,0.895,1047.5
20883,0.515,0.900,1016.8999999999996
20884,0.515,0.905,990.1000000000004
20885,0.515,0.910,966.5
20886,0.515,0.915,945.2999999999993
20887,0.515,0.920,926.1000000000004
20888,0.515,0.925,908.6000000000004
20889,0.515,0.930,892.6000000000004
20890,0.515,0.935,877.7999999999993
20891,0.515,0.940,864.1000000000004
20892,0.515,0.945,851.3999999999996
20893,0.515,0.950,839.3999999999996
20894,0.515,0.955,828.2999999999993
20895,0.515,0.960,817.7000000000007
20896,0.515,0.965,807.7999999999993
20897,0.515,0.970,798.3999999999996
20898,0.515,0.975,789.5
20899,0.515,0.980,781.1000000000004
20900,0.515,0.985,773.0
20901,0.515,0.990,765.3999999999996
20902,0.515,0.995,758.0
20903,0.515,1.000,751.0
21075,0.520,0.855,1779.7999999999993
21076,0.520,0.860,1433.6000000000004
21077,0.520,0.865,1296.8999999999996
21078,0.520,0.870,1211.0
21079,0.520,0.875,1148.6000000000004
21080,0.520,0.880,1099.7999999999993
21081,0.520,0.885,1059.7999999999993
21082,0.520,0.890,1026.1000000000004
21083,0.520,0.895,997.1000000000004
21084,0.520,0.900,971.6000000000004
21085,0.520,0.905,948.8999999999996
21086,0.520,0.910,928.5
21087,0.520,0.915,910.1000000000004
21088,0.520,0.920,893.2000000000007
21089,0.520,0.925,877.7000000000007
21090,0.520,0.930,863.3999999999996
21091,0.520,0.935,850.1000000000004
21092,0.520,0.940,837.7000000000007
21093,0.520,0.945,826.1000000000004
21094,0.520,0.950,815.2000000000007
21095,0.520,0.955,805.0
21096,0.520,0.960,795.2999999999993
21097,0.520,0.965,786.1000000000004
21098,0.520,0.970,777.5
21099,0.520,0.975,769.2000000000007
21100,0.520,0.980,761.3999999999996
21101,0.520,0.985,753.8999999999996
21102,0.520,0.990,746.7000000000007
21103,0.520,0.995,739.8999999999996
21104,0.520,1.000,733.2999999999993
21275,0.525,0.850,1598.3999999999996
21276,0.525,0.855,1369.5
21277,0.525,0.860,1254.7000000000007
21278,0.525,0.865,1178.2000000000007
21279,0.525,0.870,1121.0
21280,0.525,0.875,1075.6000000000004
21281,0.525,0.880,1038.0
21282,0.525,0.885,1006.0
21283,0.525,0.890,978.2999999999993
21284,0.525,0.895,953.7999999999993
21285,0.525,0.900,932.1000000000004
21286,0.525,0.905,912.3999999999996
21287,0.525,0.910,894.6000000000004
21288,0.525,0.915,878.2999999999993
21289,0.525,0.920,863.2000000000007
21290,0.525,0.925,849.2999999999993
21291,0.525,0.930,836.3999999999996
21292,0.525,0.935,824.3999999999996
21293,0.525,0.940,813.1000000000004
21294,0.525,0.945,802.5
21295,0.525,0.950,792.5
21296,0.525,0.955,783.0
