,f,fv,value
26693,0.660,0.805,796.6000000000004
26694,0.660,0.810,796.2999999999993
26695,0.660,0.815,797.0
26696,0.660,0.820,798.7999999999993
26697,0.660,0.825,801.7000000000007
26698,0.660,0.830,805.7000000000007
26699,0.660,0.835,810.7000000000007
26700,0.660,0.840,816.8999999999996
26701,0.660,0.845,824.2000000000007
26702,0.660,0.850,832.8999999999996
26703,0.660,0.855,842.8999999999996
26704,0.660,0.860,854.6000000000004
26705,0.660,0.865,867.8999999999996
26706,0.660,0.870,883.2999999999993
26707,0.660,0.875,901.1000000000004
26708,0.660,0.880,921.7000000000007
26709,0.660,0.885,945.7999999999993
26710,0.660,0.890,974.3999999999996
26711,0.660,0.895,1008.7999999999993
26712,0.660,0.900,1051.2000000000007
26713,0.660,0.905,1105.6000000000004
26714,0.660,0.910,1179.6000000000004
26715,0.660,0.915,1292.3999999999996
26716,0.660,0.920,1521.7000000000007
26877,0.665,0.720,1309.2999999999993
26878,0.665,0.725,1087.3999999999996
26879,0.665,0.730,988.6000000000004
26880,0.665,0.735,927.7000000000007
26881,0.665,0.740,885.2999999999993
26882,0.665,0.745,853.8999999999996
26883,0.665,0.750,829.6000000000004
26884,0.665,0.755,810.3999999999996
26885,0.665,0.760,795.0
26886,0.665,0.765,782.5
26887,0.665,0.770,772.3999999999996
26888,0.665,0.775,764.2999999999993
26889,0.665,0.780,757.7999999999993
26890,0.665,0.785,752.7999999999993
26891,0.665,0.790,749.1000000000004
26892,0.665,0.795,746.5
26893,0.665,0.800,744.8999999999996
26894,0.665,0.805,744.2999999999993
26895,0.665,0.810,744.7000000000007
26896,0.665,0.815,746.0
26897,0.665,0.820,748.1000000000004
26898,0.665,0.825,751.1000000000004
26899,0.665,0.830,755.1000000000004
26900,0.665,0.835,759.8999999999996
26901,0.665,0.840,765.6000000000004
26902,0.665,0.845,772.3999999999996
26903,0.665,0.850,780.2000000000007
26904,0.665,0.855,789.2000000000007
26905,0.665,0.860,799.3999999999996
26906,0.665,0.865,811.0
26907,0.665,0.870,824.2000000000007
26908,0.665,0.875,839.2999999999993
26909,0.665,0.880,856.5
26910,0.665,0.885,876.2000000000007
26911,0.665,0.890,899.0
26912,0.665,0.895,925.6000000000004
26913,0.665,0.900,957.2999999999993
26914,0.665,0.905,995.7000000000007
26915,0.665,0.910,1043.7999999999993
26916,0.665,0.915,1106.7999999999993
26917,0.665,0.920,1196.2999999999993
26918,0.665,0.925,1346.6000000000004
26919,0.665,0.930,1848.5
27077,0.670,0.715,1136.3999999999996
27078,0.670,0.720,986.7999999999993
27079,0.670,0.725,908.8999999999996
27080,0.670,0.730,858.3999999999996
27081,0.670,0.735,822.3999999999996
27082,0.670,0.740,795.2999999999993
27083,0.670,0.745,774.1000000000004
27084,0.670,0.750,757.2999999999993
27085,0.670,0.755,743.7000000000007
27086,0.670,0.760,732.6000000000004
27087,0.670,0.765,723.7000000000007
27088,0.670,0.770,716.3999999999996
27089,0.670,0.775,710.6000000000004
27090,0.670,0.780,706.0
27091,0.670,0.785,702.6000000000004
27092,0.670,0.790,700.1000000000004
27093,0.670,0.795,698.6000000000004
27094,0.670,0.800,697.8999999999996
27095,0.670,0.805,698.1000000000004
27096,0.670,0.810,699.0
27097,0.670,0.815,700.7000000000007
27098,0.670,0.820,703.1000000000004
27099,0.670,0.825,706.2000000000007
27100,0.670,0.830,710.2000000000007
27101,0.670,0.835,714.7999999999993
27102,0.670,0.840,720.2999999999993
27103,0.670,0.845,726.7000000000007
27104,0.670,0.850,733.8999999999996
27105,0.670,0.855,742.1000000000004
27106,0.670,0.860,751.3999999999996
27107,0.670,0.865,761.7999999999993
27108,0.670,0.870,773.5
27109,0.670,0.875,786.7000000000007
27110,0.670,0.880,801.6000000000004
27111,0.670,0.885,818.5
27112,0.670,0.890,837.7000000000007
27113,0.670,0.895,859.7000000000007
27114,0.670,0.900,885.2999999999993
27115,0.670,0.905,915.3999999999996
27116,0.670,0.910,951.6000000000004
27117,0.670,0.915,996.1000000000004
27118,0.670,0.920,1053.2000000000007
27119,0.670,0.925,1131.5
27120,0.670,0.930,1253.0
27121,0.670,0.935,1519.3999999999996
27276,0.675,0.705,1460.2999999999993
27277,0.675,0.710,1024.1000000000004
27278,0.675,0.715,906.2000000000007
27279,0.675,0.720,840.7000000000007
27280,0.675,0.725,797.3999999999996
27281,0.675,0.730,766.0
27282,0.675,0.735,742.2000000000007
27283,0.675,0.740,723.6000000000004
27284,0.675,0.745,708.7000000000007
27285,0.675,0.750,696.6000000000004
27286,0.675,0.755,686.7999999999993
27287,0.675,0.760,678.7000000000007
27288,0.675,0.765,672.2000000000007
27289,0.675,0.770,667.0
27290,0.675,0.775,662.8999999999996
27291,0.675,0.780,659.7999999999993
27292,0.675,0.785,657.6000000000004
27293,0.675,0.790,656.1000000000004
27294,0.675,0.795,655.5
27295,0.675,0.800,655.5
27296,0.675,0.805,656.2000000000007
27297,0.675,0.810,657.6000000000004
27298,0.675,0.815,659.6000000000004
27299,0.675,0.820,662.2000000000007
27300,0.675,0.825,665.5
27301,0.675,0.830,669.5
27302,0.675,0.835,674.1000000000004
27303,0.675,0.840,679.3999999999996
27304,0.675,0.845,685.3999999999996
27305,0.675,0.850,692.2000000000007
27306,0.675,0.855,699.8999999999996
27307,0.675,0.860,708.3999999999996
27308,0.675,0.865,718.0
27309,0.675,0.870,728.6000000000004
27310,0.675,0.875,740.5
27311,0.675,0.880,753.7999999999993
27312,0.675,0.885,768.7000000000007
27313,0.675,0.890,785.5
27314,0.675,0.895,804.5
27315,0.675,0.900,826.2000000000007
27316,0.675,0.905,851.2000000000007
27317,0.675,0.910,880.5
27318,0.675,0.915,915.2999999999993
27319,0.675,0.920,957.8999999999996
27320,0.675,0.925,1011.8999999999996
27321,0.675,0.930,1084.5
27322,0.675,0.935,1192.7999999999993
27323,0.675,0.940,1402.0
27476,0.680,0.700,1239.8999999999996
27477,0.680,0.705,935.0
27478,0.680,0.710,835.6000000000004
27479,0.680,0.715,779.0
27480,0.680,0.720,741.1000000000004
27481,0.680,0.725,713.6000000000004
27482,0.680,0.730,692.7000000000007
27483,0.680,0.735,676.2000000000007
27484,0.680,0.740,663.0
27485,0.680,0.745,652.2999999999993
27486,0.680,0.750,643.6000000000004
27487,0.680,0.755,636.5
27488,0.680,0.760,630.7999999999993
27489,0.680,0.765,626.2000000000007
27490,0.680,0.770,622.5
27491,0.680,0.775,619.7000000000007
27492,0.680,0.780,617.7999999999993
27493,0.680,0.785,616.5
27494,0.680,0.790,615.8999999999996
27495,0.680,0.795,615.8999999999996
27496,0.680,0.800,616.5
27497,0.680,0.805,617.7000000000007
27498,0.680,0.810,619.5
27499,0.680,0.815,621.7999999999993
27500,0.680,0.820,624.6000000000004
27501,0.680,0.825,628.0
27502,0.680,0.830,632.0
27503,0.680,0.835,636.6000000000004
27504,0.680,0.840,641.7000000000007
27505,0.680,0.845,647.5
27506,0.680,0.850,654.0
27507,0.680,0.855,661.2999999999993
27508,0.680,0.860,669.2999999999993
27509,0.680,0.865,678.2000000000007
27510,0.680,0.870,688.0
27511,0.680,0.875,698.8999999999996
27512,0.680,0.880,711.0
27513,0.680,0.885,724.5
27514,0.680,0.890,739.5
27515,0.680,0.895,756.2999999999993
27516,0.680,0.900,775.2999999999993
27517,0.680,0.905,797.0
27518,0.680,0.910,821.7999999999993
27519,0.680,0.915,850.7999999999993
27520,0.680,0.920,885.1000000000004
27521,0.680,0.925,926.7999999999993
27522,0.680,0.930,979.3999999999996
27523,0.680,0.935,1049.2999999999993
27524,0.680,0.940,1152.0
27525,0.680,0.945,1340.5
27676,0.685,0.695,1112.2000000000007
27677,0.685,0.700,855.7000000000007
27678,0.685,0.705,769.7999999999993
27679,0.685,0.710,720.6000000000004
27680,0.685,0.715,687.6000000000004
27681,0.685,0.720,663.6000000000004
27682,0.685,0.725,645.2999999999993
27683,0.685,0.730,630.8999999999996
27684,0.685,0.735,619.3999999999996
27685,0.685,0.740,610.0
27686,0.685,0.745,602.3999999999996
27687,0.685,0.750,596.2999999999993
27688,0.685,0.755,591.2000000000007
27689,0.685,0.760,587.2000000000007
27690,0.685,0.765,584.1000000000004
27691,0.685,0.770,581.7000000000007
27692,0.685,0.775,580.0
27693,0.685,0.780,578.8999999999996
27694,0.685,0.785,578.5
27695,0.685,0.790,578.6000000000004
27696,0.685,0.795,579.2000000000007
27697,0.685,0.800,580.2999999999993
27698,0.685,0.805,581.7999999999993
27699,0.685,0.810,583.8999999999996
27700,0.685,0.815,586.5
27701,0.685,0.820,589.5
27702,0.685,0.825,593.0
27703,0.685,0.830,597.0
27704,0.685,0.835,601.6000000000004
27705,0.685,0.840,606.7000000000007
27706,0.685,0.845,612.2999999999993
27707,0.685,0.850,618.6000000000004
27708,0.685,0.855,625.5
27709,0.685,0.860,633.1000000000004
27710,0.685,0.865,641.5
27711,0.685,0.870,650.7000000000007
27712,0.685,0.875,660.8999999999996
27713,0.685,0.880,672.1000000000004
27714,0.685,0.885,684.3999999999996
27715,0.685,0.890,698.1000000000004
27716,0.685,0.895,713.3999999999996
27717,0.685,0.900,730.3999999999996
27718,0.685,0.905,749.6000000000004
27719,0.685,0.910,771.2999999999993
27720,0.685,0.915,796.2999999999993
27721,0.685,0.920,825.2999999999993
27722,0.685,0.925,859.7000000000007
27723,0.685,0.930,901.3999999999996
27724,0.685,0.935,953.7999999999993
27725,0.685,0.940,1023.2999999999993
27726,0.685,0.945,1125.0
27727,0.685,0.950,1309.7000000000007
27876,0.690,0.690,1007.1000000000004
27877,0.690,0.695,778.8999999999996
27878,0.690,0.700,705.5
27879,0.690,0.705,663.6000000000004
27880,0.690,0.710,635.3999999999996
27881,0.690,0.715,614.8999999999996
27882,0.690,0.720,599.2000000000007
27883,0.690,0.725,586.8999999999996
27884,0.690,0.730,577.0
27885,0.690,0.735,569.1000000000004
27886,0.690,0.740,562.6000000000004
27887,0.690,0.745,557.2999999999993
27888,0.690,0.750,553.1000000000004
27889,0.690,0.755,549.7000000000007
27890,0.690,0.760,547.1000000000004
27891,0.690,0.765,545.1000000000004
27892,0.690,0.770,543.7999999999993
27893,0.690,0.775,543.0
27894,0.690,0.780,542.7000000000007
27895,0.690,0.785,542.8999999999996
27896,0.690,0.790,543.5
27897,0.690,0.795,544.6000000000004
27898,0.690,0.800,546.1000000000004
27899,0.690,0.805,548.1000000000004
27900,0.690,0.810,550.3999999999996
27901,0.690,0.815,553.2000000000007
27902,0.690,0.820,556.3999999999996
27903,0.690,0.825,560.0
27904,0.690,0.830,564.1000000000004
27905,0.690,0.835,568.7000000000007
27906,0.690,0.840,573.7000000000007
27907,0.690,0.845,579.2000000000007
27908,0.690,0.850,585.2999999999993
27909,0.690,0.855,592.0
27910,0.690,0.860,599.2999999999993
27911,0.690,0.865,607.2999999999993
27912,0.690,0.870,616.0
27913,0.690,0.875,625.6000000000004
27914,0.690,0.880,636.0
27915,0.690,0.885,647.5
27916,0.690,0.890,660.2000000000007
27917,0.690,0.895,674.2000000000007
27918,0.690,0.900,689.7000000000007
27919,0.690,0.905,707.1000000000004
27920,0.690,0.910,726.6000000000004
27921,0.690,0.915,748.7000000000007
27922,0.690,0.920,774.0
27923,0.690,0.925,803.5
27924,0.690,0.930,838.3999999999996
27925,0.690,0.935,880.7000000000007
27926,0.690,0.940,934.0
27927,0.690,0.945,1005.0
27928,0.690,0.950,1109.3999999999996
27929,0.690,0.955,1303.2999999999993
28076,0.695,0.685,890.5
28077,0.695,0.690,700.1000000000004
28078,0.695,0.695,640.7999999999993
28079,0.695,0.700,606.7000000000007
28080,0.695,0.705,583.6000000000004
28081,0.695,0.710,566.7000000000007
28082,0.695,0.715,553.7999999999993
28083,0.695,0.720,543.7000000000007
28084,0.695,0.725,535.5
28085,0.695,0.730,529.0
28086,0.695,0.735,523.7000000000007
28087,0.695,0.740,519.3999999999996
28088,0.695,0.745,515.8999999999996
28089,0.695,0.750,513.2000000000007
28090,0.695,0.755,511.2000000000007
28091,0.695,0.760,509.7000000000007
28092,0.695,0.765,508.7000000000007
28093,0.695,0.770,508.2000000000007
28094,0.695,0.775,508.2000000000007
28095,0.695,0.780,508.5
28096,0.695,0.785,509.2999999999993
28097,0.695,0.790,510.39999999999964
28098,0.695,0.795,511.89999999999964
28099,0.695,0.800,513.7999999999993
28100,0.695,0.805,516.0
28101,0.695,0.810,518.6000000000004
28102,0.695,0.815,521.6000000000004
28103,0.695,0.820,525.0
28104,0.695,0.825,528.7000000000007
28105,0.695,0.830,532.7999999999993
28106,0.695,0.835,537.3999999999996
28107,0.695,0.840,542.3999999999996
28108,0.695,0.845,547.7999999999993
28109,0.695,0.850,553.7999999999993
28110,0.695,0.855,560.2000000000007
28111,0.695,0.860,567.2999999999993
28112,0.695,0.865,575.0
28113,0.695,0.870,583.2999999999993
28114,0.695,0.875,592.3999999999996
28115,0.695,0.880,602.2999999999993
28116,0.695,0.885,613.1000000000004
28117,0.695,0.890,624.8999999999996
28118,0.695,0.895,638.0
28119,0.695,0.900,652.2999999999993
28120,0.695,0.905,668.2999999999993
28121,0.695,0.910,686.0
28122,0.695,0.915,706.0
28123,0.695,0.920,728.7000000000007
28124,0.695,0.925,754.6000000000004
28125,0.695,0.930,784.7999999999993
28126,0.695,0.935,820.7000000000007
28127,0.695,0.940,864.2999999999993
28128,0.695,0.945,919.6000000000004
28129,0.695,0.950,993.7999999999993
28130,0.695,0.955,1105.0
28131,0.695,0.960,1323.2999999999993
28277,0.700,0.685,618.5
28278,0.700,0.690,575.6000000000004
28279,0.700,0.695,549.8999999999996
28280,0.700,0.700,532.2000000000007
28281,0.700,0.705,519.2000000000007
28282,0.700,0.710,509.10000000000036
28283,0.700,0.715,501.10000000000036
28284,0.700,0.720,494.7999999999993
28285,0.700,0.725,489.60000000000036
