,f,fv,value
12647,0.310,0.925,1677.2999999999993
12648,0.310,0.930,1470.1000000000004
12649,0.310,0.935,1359.5
12650,0.310,0.940,1284.0
12651,0.310,0.945,1226.7000000000007
12652,0.310,0.950,1180.6000000000004
12653,0.310,0.955,1142.2000000000007
12654,0.310,0.960,1109.2999999999993
12655,0.310,0.965,1080.6000000000004
12656,0.310,0.970,1055.1000000000004
12657,0.310,0.975,1032.2000000000007
12658,0.310,0.980,1011.5
12659,0.310,0.985,992.6000000000004
12660,0.310,0.990,975.2999999999993
12661,0.310,0.995,959.2000000000007
12662,0.310,1.000,944.2999999999993
12847,0.315,0.920,1606.1000000000004
12848,0.315,0.925,1433.7000000000007
12849,0.315,0.930,1333.7000000000007
12850,0.315,0.935,1263.2000000000007
12851,0.315,0.940,1209.0
12852,0.315,0.945,1165.0
12853,0.315,0.950,1128.0
12854,0.315,0.955,1096.1000000000004
12855,0.315,0.960,1068.2000000000007
12856,0.315,0.965,1043.3999999999996
12857,0.315,0.970,1021.1000000000004
12858,0.315,0.975,1000.8999999999996
12859,0.315,0.980,982.3999999999996
12860,0.315,0.985,965.3999999999996
12861,0.315,0.990,949.6000000000004
12862,0.315,0.995,935.0
12863,0.315,1.000,921.2999999999993
13046,0.320,0.910,1992.1000000000004
13047,0.320,0.915,1551.6000000000004
13048,0.320,0.920,1402.2999999999993
13049,0.320,0.925,1310.3999999999996
13050,0.320,0.930,1244.2000000000007
13051,0.320,0.935,1192.5
13052,0.320,0.940,1150.2000000000007
13053,0.320,0.945,1114.5
13054,0.320,0.950,1083.6000000000004
13055,0.320,0.955,1056.3999999999996
13056,0.320,0.960,1032.2000000000007
13057,0.320,0.965,1010.3999999999996
13058,0.320,0.970,990.6000000000004
13059,0.320,0.975,972.3999999999996
13060,0.320,0.980,955.7000000000007
13061,0.320,0.985,940.2000000000007
13062,0.320,0.990,925.7999999999993
13063,0.320,0.995,912.3999999999996
13064,0.320,1.000,899.7000000000007
13246,0.325,0.905,1818.3999999999996
13247,0.325,0.910,1507.7000000000007
13248,0.325,0.915,1374.7000000000007
13249,0.325,0.920,1289.3999999999996
13250,0.325,0.925,1226.6000000000004
13251,0.325,0.930,1177.1000000000004
13252,0.325,0.935,1136.2999999999993
13253,0.325,0.940,1101.6000000000004
13254,0.325,0.945,1071.6000000000004
13255,0.325,0.950,1045.1000000000004
13256,0.325,0.955,1021.3999999999996
13257,0.325,0.960,1000.1000000000004
13258,0.325,0.965,980.6000000000004
13259,0.325,0.970,962.7999999999993
13260,0.325,0.975,946.3999999999996
13261,0.325,0.980,931.1000000000004
13262,0.325,0.985,916.8999999999996
13263,0.325,0.990,903.7000000000007
13264,0.325,0.995,891.2000000000007
13265,0.325,1.000,879.5
13446,0.330,0.900,1719.2000000000007
13447,0.330,0.905,1471.0
13448,0.330,0.910,1350.2999999999993
